Culmen Length (mm),Culmen Depth (mm),Flipper Length (mm),Body Mass (g),Delta 15 N (o/oo),Delta 13 C (o/oo)
50.2,14.3,218.0,5700.0,7.8962,-25.37746
46.3,15.8,215.0,5050.0,7.90971,-25.38157
46.1,15.1,215.0,5100.0,7.83733,-25.42826
47.8,15.0,215.0,5650.0,7.92358,-25.48383
50.0,15.3,220.0,5550.0,8.30515,-25.19017
59.6,17.0,230.0,6050.0,7.76843,-25.6821
48.4,16.3,220.0,5400.0,8.03659,-26.86127
44.4,17.3,219.0,5250.0,8.13746,-26.79093
48.7,15.7,208.0,5350.0,8.14776,-26.84506
49.6,16.0,225.0,5700.0,8.38324,-26.84272
49.6,15.0,216.0,4750.0,8.26548,-26.7699
50.5,15.9,222.0,5550.0,8.46894,-26.60436
50.5,15.9,225.0,5400.0,8.65803,-26.57585
45.2,15.8,215.0,5300.0,8.55868,-26.67799
48.5,14.1,220.0,5300.0,8.39867,-26.79358
50.1,15.0,225.0,5000.0,8.50153,-26.61414
45.0,15.4,220.0,5050.0,8.63488,-26.75621
45.5,15.0,220.0,5000.0,8.63604,-26.7489
50.4,15.3,224.0,5550.0,8.74647,-26.79846
46.2,14.9,221.0,5300.0,8.60092,-26.84374
54.3,15.7,231.0,5650.0,8.49662,-26.84166
49.8,16.8,230.0,5700.0,8.47067,-26.69166
49.5,16.2,229.0,5800.0,8.49854,-26.74809
50.7,15.0,223.0,5550.0,8.63551,-26.74249
46.4,15.6,221.0,5000.0,8.35078,-26.70783
48.2,15.6,221.0,5100.0,8.24651,-26.66958
48.6,16.0,230.0,5800.0,8.5964,-26.71199
51.1,16.3,220.0,6000.0,8.40327,-26.76821
45.2,16.4,223.0,5950.0,8.19749,-26.65931
52.5,15.6,221.0,5450.0,8.28601,-26.27573
50.0,15.9,224.0,5350.0,8.20042,-26.39677
50.8,17.3,228.0,5600.0,8.27428,-26.30019
51.3,14.2,218.0,5300.0,8.15426,-26.3433
52.1,17.0,230.0,5550.0,8.27595,-26.11657
52.2,17.1,228.0,5400.0,8.36701,-25.89834
49.5,16.1,224.0,5650.0,8.83352,-25.69195
50.8,15.7,226.0,5200.0,8.27102,-26.11244
49.4,15.8,216.0,4925.0,8.03624,-26.06594
51.1,16.5,225.0,5250.0,8.2066,-26.36863
55.9,17.0,228.0,5600.0,8.3118,-26.35425
49.1,15.0,228.0,5500.0,8.65914,-25.79203
46.8,16.1,215.0,5500.0,8.32359,-26.05756
53.4,15.8,219.0,5500.0,8.41017,-26.33867
48.1,15.1,209.0,5500.0,8.45738,-26.22664
49.8,15.9,229.0,5950.0,8.29226,-26.21019
51.5,16.3,230.0,5500.0,8.78557,-25.76147
55.1,16.0,230.0,5850.0,8.08354,-26.18161
48.8,16.2,222.0,6000.0,8.33825,-25.88547
50.4,15.7,222.0,5750.0,8.30166,-26.04117
49.9,16.1,213.0,5400.0,8.3639,-26.15531
50.0,19.5,196.0,3900.0,8.92069,-24.23592
51.3,19.2,193.0,3650.0,9.29078,-24.7557
52.7,19.8,197.0,3725.0,9.00642,-24.61867
51.3,18.2,197.0,3750.0,8.63701,-24.84059
51.3,19.9,198.0,3700.0,8.79581,-24.36088
51.7,20.3,194.0,3775.0,8.68747,-24.38751
52.0,18.1,201.0,4050.0,9.0233,-24.38933
50.5,19.6,201.0,4050.0,9.8059,-24.7294
50.3,20.0,197.0,3300.0,10.02019,-24.54704
49.2,18.2,195.0,4400.0,9.27158,-24.64335
48.5,17.5,191.0,3400.0,9.42666,-24.26375
50.6,19.4,193.0,3800.0,9.28153,-24.97134
52.0,19.0,197.0,4150.0,9.36799,-24.47142
49.5,19.0,200.0,3800.0,9.63074,-24.34684
52.8,20.0,205.0,4550.0,9.25177,-24.69638
54.2,20.8,201.0,4300.0,9.49283,-24.59996
51.0,18.8,203.0,4100.0,9.23196,-24.17282
49.7,18.6,195.0,3600.0,9.75486,-24.31198
52.0,20.7,210.0,4800.0,9.43146,-24.6844
53.5,19.9,205.0,4500.0,10.02544,-24.90816
49.0,19.5,210.0,3950.0,9.53262,-24.66867
50.9,19.1,196.0,3550.0,10.02372,-24.86594
50.8,18.5,201.0,4450.0,9.45827,-24.35575
49.0,19.6,212.0,4300.0,9.34089,-24.45189
51.5,18.7,187.0,3250.0,9.6895,-24.43062
51.4,19.0,201.0,3950.0,9.43782,-24.36202
50.7,19.7,203.0,4050.0,9.93727,-24.59066
52.2,18.8,197.0,3450.0,9.77528,-24.56481
49.3,19.9,203.0,4050.0,9.88809,-24.59513
50.2,18.8,202.0,3800.0,9.74492,-24.404
55.8,19.8,207.0,4000.0,9.70465,-24.53494
49.6,18.2,193.0,3775.0,9.4618,-24.70615
50.8,19.0,210.0,4100.0,9.98044,-24.68741
