Culmen Length (mm),Culmen Depth (mm),Flipper Length (mm),Body Mass (g),Delta 15 N (o/oo),Delta 13 C (o/oo)
35.0,17.9,190.0,3450.0,8.19539,-26.17213
42.0,19.5,200.0,4050.0,8.48095,-26.3146
34.5,18.1,187.0,2900.0,8.41837,-26.54718
41.4,18.6,191.0,3700.0,8.35396,-26.27853
39.0,17.5,186.0,3550.0,8.57199,-26.07188
40.6,18.8,193.0,3800.0,8.56674,-25.98843
36.5,16.6,181.0,2850.0,9.07878,-25.88156
37.6,19.1,194.0,3750.0,9.108,-25.89677
35.7,16.9,185.0,3150.0,8.96472,-26.40943
41.3,21.1,195.0,4400.0,8.74802,-26.37809
37.6,17.0,185.0,3600.0,8.58063,-26.21569
41.1,18.2,192.0,4050.0,8.62264,-26.60023
36.4,17.1,184.0,2850.0,8.62623,-26.1165
41.6,18.0,192.0,3950.0,8.85562,-26.09294
35.5,16.2,195.0,3350.0,8.56192,-25.95541
41.1,19.1,188.0,4100.0,8.71078,-25.81012
35.9,16.6,190.0,3050.0,8.47781,-26.07821
41.8,19.4,198.0,4450.0,8.86853,-26.06209
33.5,19.0,190.0,3600.0,7.88863,-26.63085
39.7,18.4,190.0,3900.0,9.29808,-25.23453
39.6,17.2,196.0,3550.0,8.33524,-26.55351
45.8,18.9,197.0,4150.0,8.18658,-26.45978
35.5,17.5,190.0,3700.0,8.70642,-26.15003
42.8,18.5,195.0,4250.0,8.2993,-26.38986
40.9,16.8,191.0,3700.0,8.47257,-26.02002
37.2,19.4,184.0,3900.0,8.3554,-26.44787
36.2,16.1,187.0,3550.0,7.82381,-26.51382
42.1,19.1,195.0,4000.0,9.05736,-25.81513
34.6,17.2,189.0,3200.0,7.69778,-26.5387
42.9,17.6,196.0,4700.0,8.63259,-26.23027
36.7,18.8,187.0,3800.0,7.88494,-26.24837
35.1,19.4,193.0,4200.0,8.90002,-26.46254
37.3,17.8,191.0,3350.0,8.32718,-26.38396
41.3,20.3,194.0,3550.0,9.14863,-26.09635
36.3,19.5,190.0,3800.0,8.57087,-26.22227
36.9,18.6,189.0,3500.0,8.59147,-26.08165
38.3,19.2,189.0,3950.0,9.07826,-26.12417
38.9,18.8,190.0,3600.0,8.36936,-26.11199
35.7,18.0,202.0,3550.0,8.46531,-26.05621
41.1,18.1,205.0,4300.0,8.77018,-25.83352
34.0,17.1,185.0,3400.0,8.01485,-26.69543
39.6,18.1,186.0,4450.0,8.49915,-26.42406
36.2,17.3,187.0,3300.0,8.90723,-26.30037
40.8,18.9,208.0,4300.0,8.48204,-26.57941
38.1,18.6,190.0,3700.0,8.10277,-26.50086
40.3,18.5,196.0,4350.0,8.39459,-26.01152
33.1,16.1,178.0,2900.0,9.04218,-26.15775
43.2,18.5,192.0,4100.0,8.97025,-26.03679
35.0,17.9,192.0,3725.0,8.84451,-26.28055
41.0,20.0,203.0,4725.0,9.01079,-26.38085
37.7,16.0,183.0,3075.0,9.2151,-26.2253
37.8,20.0,190.0,4250.0,9.51929,-25.69199
37.9,18.6,193.0,2925.0,9.02642,-25.86482
39.7,18.9,184.0,3550.0,8.85699,-25.80208
38.6,17.2,199.0,3750.0,8.77322,-26.48973
38.2,20.0,190.0,3900.0,9.59245,-25.70711
38.1,17.0,181.0,3175.0,9.79532,-25.27385
43.2,19.0,197.0,4775.0,9.31735,-25.45171
38.1,16.5,198.0,3825.0,8.43951,-26.57563
45.6,20.3,191.0,4600.0,8.65466,-26.32909
39.7,17.7,193.0,3200.0,9.02657,-26.06203
42.2,19.5,197.0,4275.0,8.80186,-26.41218
39.6,20.7,191.0,3900.0,8.80967,-26.78958
42.7,18.3,196.0,4075.0,8.91434,-26.42018
38.6,17.0,188.0,2900.0,9.18021,-25.77264
37.3,20.5,199.0,3775.0,9.49645,-26.36678
35.7,17.0,189.0,3350.0,8.96436,-23.90309
41.1,18.6,189.0,3325.0,9.32277,-26.09989
36.2,17.2,187.0,3150.0,9.04296,-26.19444
37.7,19.8,198.0,3500.0,9.11066,-26.42563
40.2,17.0,176.0,3450.0,9.30722,-25.61039
41.4,18.5,202.0,3875.0,9.59462,-25.42621
35.2,15.9,186.0,3050.0,8.81668,-25.95399
40.6,19.0,199.0,4000.0,9.22537,-25.60826
38.8,17.6,191.0,3275.0,8.88098,-25.89741
41.5,18.3,195.0,4300.0,8.52566,-26.0245
39.0,17.1,191.0,3050.0,9.19031,-25.73722
44.1,18.0,210.0,4000.0,9.10702,-26.01363
38.5,17.9,190.0,3325.0,8.9846,-25.57956
43.1,19.2,197.0,3500.0,8.86495,-26.1396
36.8,18.5,193.0,3500.0,8.98705,-25.57647
37.5,18.5,199.0,4475.0,8.56708,-26.49288
38.1,17.6,187.0,3425.0,8.717,-25.77951
41.1,17.5,190.0,3900.0,8.94365,-26.06943
35.6,17.5,191.0,3175.0,8.75984,-25.97696
40.2,20.1,200.0,3975.0,8.95998,-26.32601
37.0,16.5,185.0,3400.0,8.61651,-26.07021
39.7,17.9,193.0,4250.0,9.25769,-25.88798
40.2,17.1,193.0,3400.0,9.2881,-25.54976
40.6,17.2,187.0,3475.0,9.23408,-26.01549
32.1,15.5,188.0,3050.0,8.79787,-26.61075
40.7,17.0,190.0,3725.0,9.05674,-25.79529
37.3,16.8,192.0,3000.0,9.06829,-25.85203
39.0,18.7,185.0,3650.0,9.22033,-26.03442
39.2,18.6,190.0,4250.0,9.11006,-25.79549
36.6,18.4,184.0,3475.0,8.68744,-25.8306
36.0,17.8,195.0,3450.0,8.94332,-25.79189
37.8,18.1,193.0,3750.0,8.97533,-26.03495
36.0,17.1,187.0,3700.0,8.93465,-26.07081
41.5,18.5,201.0,4000.0,8.8964,-26.06967
46.1,13.2,211.0,4500.0,7.993,-25.5139
50.0,16.3,230.0,5700.0,8.14756,-25.39369
48.7,14.1,210.0,4450.0,8.14705,-25.46172
50.0,15.2,218.0,5700.0,8.2554,-25.40075
47.6,14.5,215.0,5400.0,8.2345,-25.54456
46.5,13.5,210.0,4550.0,7.9953,-25.32829
45.4,14.6,211.0,4800.0,8.24515,-25.46782
46.7,15.3,219.0,5200.0,8.22673,-25.4276
43.3,13.4,209.0,4400.0,8.13643,-25.32176
46.8,15.4,215.0,5150.0,8.1631,-25.38017
40.9,13.7,214.0,4650.0,8.19579,-25.3933
49.0,16.1,216.0,5550.0,8.10417,-25.50562
45.5,13.7,214.0,4650.0,7.77672,-25.4168
48.4,14.6,213.0,5850.0,7.8208,-25.48025
45.8,14.6,210.0,4200.0,7.79958,-25.62618
49.3,15.7,217.0,5850.0,8.07137,-25.52473
42.0,13.5,210.0,4150.0,7.63884,-25.52627
49.2,15.2,221.0,6300.0,8.27376,-25.00169
46.2,14.5,209.0,4800.0,7.84057,-25.37899
48.7,15.1,222.0,5350.0,7.96491,-25.39587
50.2,14.3,218.0,5700.0,7.8962,-25.37746
45.1,14.5,215.0,5000.0,7.6322,-25.46569
46.5,14.5,213.0,4400.0,7.90436,-25.3947
46.3,15.8,215.0,5050.0,7.90971,-25.38157
42.9,13.1,215.0,5000.0,7.68528,-25.39181
46.1,15.1,215.0,5100.0,7.83733,-25.42826
44.5,14.3,216.0,4100.0,7.96621,-25.69327
47.8,15.0,215.0,5650.0,7.92358,-25.48383
48.2,14.3,210.0,4600.0,7.6887,-25.50811
50.0,15.3,220.0,5550.0,8.30515,-25.19017
42.8,14.2,209.0,4700.0,7.63452,-25.46327
45.1,14.5,207.0,5050.0,7.97408,-25.53768
59.6,17.0,230.0,6050.0,7.76843,-25.6821
49.1,14.8,220.0,5150.0,7.89744,-26.63405
48.4,16.3,220.0,5400.0,8.03659,-26.86127
42.6,13.7,213.0,4950.0,7.96935,-26.70968
44.4,17.3,219.0,5250.0,8.13746,-26.79093
44.0,13.6,208.0,4350.0,8.01979,-26.68311
48.7,15.7,208.0,5350.0,8.14776,-26.84506
42.7,13.7,208.0,3950.0,8.14567,-26.59467
49.6,16.0,225.0,5700.0,8.38324,-26.84272
45.3,13.7,210.0,4300.0,8.37615,-26.72791
49.6,15.0,216.0,4750.0,8.26548,-26.7699
50.5,15.9,222.0,5550.0,8.46894,-26.60436
43.6,13.9,217.0,4900.0,8.27141,-26.7765
45.5,13.9,210.0,4200.0,8.47829,-26.61788
50.5,15.9,225.0,5400.0,8.65803,-26.57585
44.9,13.3,213.0,5100.0,8.45167,-26.89644
45.2,15.8,215.0,5300.0,8.55868,-26.67799
46.6,14.2,210.0,4850.0,8.38289,-26.86352
48.5,14.1,220.0,5300.0,8.39867,-26.79358
45.1,14.4,210.0,4400.0,8.51951,-27.01854
50.1,15.0,225.0,5000.0,8.50153,-26.61414
46.5,14.4,217.0,4900.0,8.48789,-26.83006
45.0,15.4,220.0,5050.0,8.63488,-26.75621
43.8,13.9,208.0,4300.0,8.58319,-26.84415
45.5,15.0,220.0,5000.0,8.63604,-26.7489
43.2,14.5,208.0,4450.0,8.48367,-26.86485
50.4,15.3,224.0,5550.0,8.74647,-26.79846
45.3,13.8,208.0,4200.0,8.65015,-26.79053
46.2,14.9,221.0,5300.0,8.60092,-26.84374
45.7,13.9,214.0,4400.0,8.6287,-26.60484
54.3,15.7,231.0,5650.0,8.49662,-26.84166
45.8,14.2,219.0,4700.0,8.60447,-26.61601
49.8,16.8,230.0,5700.0,8.47067,-26.69166
46.2,14.4,214.0,4650.0,8.24253,-26.8154
49.5,16.2,229.0,5800.0,8.49854,-26.74809
43.5,14.2,220.0,4700.0,8.64931,-26.68867
50.7,15.0,223.0,5550.0,8.63551,-26.74249
47.7,15.0,216.0,4750.0,8.53018,-26.72751
46.4,15.6,221.0,5000.0,8.35078,-26.70783
48.2,15.6,221.0,5100.0,8.24651,-26.66958
46.5,14.8,217.0,5200.0,8.58487,-26.5929
46.4,15.0,216.0,4700.0,8.47938,-26.9547
48.6,16.0,230.0,5800.0,8.5964,-26.71199
47.5,14.2,209.0,4600.0,8.39299,-26.78733
51.1,16.3,220.0,6000.0,8.40327,-26.76821
45.2,13.8,215.0,4750.0,8.24694,-26.65359
45.2,16.4,223.0,5950.0,8.19749,-26.65931
49.1,14.5,212.0,4625.0,8.35802,-26.2766
52.5,15.6,221.0,5450.0,8.28601,-26.27573
47.4,14.6,212.0,4725.0,8.19101,-26.24369
50.0,15.9,224.0,5350.0,8.20042,-26.39677
44.9,13.8,212.0,4750.0,8.11238,-26.20372
50.8,17.3,228.0,5600.0,8.27428,-26.30019
43.4,14.4,218.0,4600.0,8.23468,-26.18599
51.3,14.2,218.0,5300.0,8.15426,-26.3433
47.5,14.0,212.0,4875.0,8.12691,-26.23613
52.1,17.0,230.0,5550.0,8.27595,-26.11657
47.5,15.0,218.0,4950.0,8.29671,-26.08547
52.2,17.1,228.0,5400.0,8.36701,-25.89834
45.5,14.5,212.0,4750.0,8.15566,-26.22848
49.5,16.1,224.0,5650.0,8.83352,-25.69195
44.5,14.7,214.0,4850.0,8.20106,-26.16524
50.8,15.7,226.0,5200.0,8.27102,-26.11244
49.4,15.8,216.0,4925.0,8.03624,-26.06594
46.9,14.6,222.0,4875.0,7.8881,-26.04726
48.4,14.4,203.0,4625.0,8.16582,-26.13971
51.1,16.5,225.0,5250.0,8.2066,-26.36863
48.5,15.0,219.0,4850.0,8.10231,-26.18763
55.9,17.0,228.0,5600.0,8.3118,-26.35425
47.2,15.5,215.0,4975.0,8.30817,-26.21651
49.1,15.0,228.0,5500.0,8.65914,-25.79203
47.3,13.8,216.0,4725.0,8.25818,-26.23886
46.8,16.1,215.0,5500.0,8.32359,-26.05756
41.7,14.7,210.0,4700.0,8.12311,-26.44815
53.4,15.8,219.0,5500.0,8.41017,-26.33867
43.3,14.0,208.0,4575.0,8.4207,-26.38092
48.1,15.1,209.0,5500.0,8.45738,-26.22664
50.5,15.2,216.0,5000.0,8.24691,-26.18466
49.8,15.9,229.0,5950.0,8.29226,-26.21019
43.5,15.2,213.0,4650.0,8.21634,-26.11046
51.5,16.3,230.0,5500.0,8.78557,-25.76147
46.2,14.1,217.0,4375.0,8.30231,-25.96013
55.1,16.0,230.0,5850.0,8.08354,-26.18161
44.5,15.7,217.0,4875.0,8.04111,-26.18444
48.8,16.2,222.0,6000.0,8.33825,-25.88547
47.2,13.7,214.0,4925.0,7.99184,-26.20538
46.8,14.3,215.0,4850.0,8.41151,-26.13832
50.4,15.7,222.0,5750.0,8.30166,-26.04117
45.2,14.8,212.0,5200.0,8.24246,-26.11969
49.9,16.1,213.0,5400.0,8.3639,-26.15531
46.5,17.9,192.0,3500.0,9.03935,-24.30229
50.0,19.5,196.0,3900.0,8.92069,-24.23592
51.3,19.2,193.0,3650.0,9.29078,-24.7557
45.4,18.7,188.0,3525.0,8.64701,-24.62717
52.7,19.8,197.0,3725.0,9.00642,-24.61867
45.2,17.8,198.0,3950.0,8.88942,-24.49433
46.1,18.2,178.0,3250.0,8.85664,-24.55644
51.3,18.2,197.0,3750.0,8.63701,-24.84059
46.0,18.9,195.0,4150.0,8.47173,-24.29229
51.3,19.9,198.0,3700.0,8.79581,-24.36088
46.6,17.8,193.0,3800.0,8.95063,-24.59897
51.7,20.3,194.0,3775.0,8.68747,-24.38751
47.0,17.3,185.0,3700.0,8.72037,-24.80526
52.0,18.1,201.0,4050.0,9.0233,-24.38933
45.9,17.1,190.0,3575.0,9.12277,-24.90024
50.5,19.6,201.0,4050.0,9.8059,-24.7294
50.3,20.0,197.0,3300.0,10.02019,-24.54704
58.0,17.8,181.0,3700.0,9.14382,-24.57994
46.4,18.6,190.0,3450.0,9.32105,-24.64162
49.2,18.2,195.0,4400.0,9.27158,-24.64335
42.4,17.3,181.0,3600.0,9.35138,-24.6879
48.5,17.5,191.0,3400.0,9.42666,-24.26375
43.2,16.6,187.0,2900.0,9.35416,-25.01185
50.6,19.4,193.0,3800.0,9.28153,-24.97134
46.7,17.9,195.0,3300.0,9.74144,-24.59467
52.0,19.0,197.0,4150.0,9.36799,-24.47142
50.5,18.4,200.0,3400.0,8.9399,-23.89017
49.5,19.0,200.0,3800.0,9.63074,-24.34684
46.4,17.8,191.0,3700.0,9.37369,-24.52896
52.8,20.0,205.0,4550.0,9.25177,-24.69638
40.9,16.6,187.0,3200.0,9.08458,-24.54903
54.2,20.8,201.0,4300.0,9.49283,-24.59996
42.5,16.7,187.0,3350.0,9.36668,-24.45195
51.0,18.8,203.0,4100.0,9.23196,-24.17282
49.7,18.6,195.0,3600.0,9.75486,-24.31198
47.5,16.8,199.0,3900.0,9.07825,-25.1455
47.6,18.3,195.0,3850.0,8.83502,-24.65859
52.0,20.7,210.0,4800.0,9.43146,-24.6844
46.9,16.6,192.0,2700.0,9.80589,-24.73735
53.5,19.9,205.0,4500.0,10.02544,-24.90816
49.0,19.5,210.0,3950.0,9.53262,-24.66867
46.2,17.5,187.0,3650.0,9.61734,-24.66188
50.9,19.1,196.0,3550.0,10.02372,-24.86594
45.5,17.0,196.0,3500.0,9.36493,-24.66259
50.9,17.9,196.0,3675.0,9.43684,-24.16566
50.8,18.5,201.0,4450.0,9.45827,-24.35575
50.1,17.9,190.0,3400.0,9.46819,-24.45721
49.0,19.6,212.0,4300.0,9.34089,-24.45189
51.5,18.7,187.0,3250.0,9.6895,-24.43062
49.8,17.3,198.0,3675.0,9.32169,-24.41562
48.1,16.4,199.0,3325.0,9.46929,-24.48403
51.4,19.0,201.0,3950.0,9.43782,-24.36202
45.7,17.3,193.0,3600.0,9.415,-24.805
50.7,19.7,203.0,4050.0,9.93727,-24.59066
42.5,17.3,187.0,3350.0,9.56534,-24.60882
52.2,18.8,197.0,3450.0,9.77528,-24.56481
45.2,16.6,191.0,3250.0,9.62357,-24.78984
49.3,19.9,203.0,4050.0,9.88809,-24.59513
50.2,18.8,202.0,3800.0,9.74492,-24.404
45.6,19.4,194.0,3525.0,9.46985,-24.65786
46.8,16.5,189.0,3650.0,9.65061,-24.48153
45.7,17.0,195.0,3650.0,9.26715,-24.31912
55.8,19.8,207.0,4000.0,9.70465,-24.53494
43.5,18.1,202.0,3400.0,9.37608,-24.40753
49.6,18.2,193.0,3775.0,9.4618,-24.70615
50.8,19.0,210.0,4100.0,9.98044,-24.68741
50.2,18.7,198.0,3775.0,9.39305,-24.25255
